15/16 goals,15/16 minutes,16/17 goals,16/17 minutes,17/18 goals,17/18 minutes,name
7,2132,14,2987,3,1194,Dmitri Poloz
5,1533,11,2427,6,1433,Emiliano Rigoni
1,914,21,2517,3,1571,Sebastián Driussi
8,1424,10,2889,19,2911,Aleksandr Kokorin
5,1500,16,2562,4,2019,Anton Zabolotnyi
18,2806,12,2474,15,2427,Quincy Promes
2,953,7,1753,1,449,Pedro Rocha
11,1794,2,804,6,1092,Lorenzo Melgarejo
2,597,0,1573,1,775,Zelimkhan Bakaev
6,1504,2,591,11,2513,Luiz Adriano
10,1768,5,1703,4,1022,Zé Luís
18,3858,4,1335,2,1075,Ahmed Musa
1,419,11,1309,0,1033,Fedor Chalov
4,531,6,809,2,585,Timur Zhamaletdinov
2,1175,5,1543,3,1236,Wanderson k
2,991,6,1809,2,898,Joãozinho
7,2762,10,3382,0,145,Andrei Ivan
3,1290,3,877,2,214,Ricardo Laborde
,,,,2,458,Magomed-Shapi Suleymanov
24,3410,25,2691,12,1377,Fedor Smolov
,,,,13,847,Ivan Ignatjev
3,2127,2,857,0,54,Alan Kasaev
1,696,3,677,12,1995,Jefferson Farfán
6,922,11,1808,0,30,Arshak Koryan
6,1582,7,2842,3,1041,Éder
6,2252,13,2435,1,430,Ari
7,2061,0,535,2,835,Gökdeniz Karadeniz
2,314,0,1395,3,800,Rifat Zhemaletdinov
9,1276,12,2447,1,1120,Sardar Azmoun
0,15,0,21,3,1411,Léo Jabá
7,3203,5,1513,0,852,Bernard Berisha
6,1371,3,1346,1,1436,Magomed Mitrishev
2,636,1,1167,0,912,Odise Roshi
1,197,0,0,0,44,Khalid Kadyrov
10,2118,9,2059,0,364,Bekim Balaj
3,760,7,866,2,588,Ablaye Mbengue
5,653,2,248,3,658,Zaur Sadaev
0,40,1,1841,0,135,Apti Akh'yadov
4,2674,13,3076,4,2210,Fedor Chernykh
,,1,104,0,52,Vyacheslav Grulev
0,134,1,419,1,216,Anton Terekhov
6,1141,8,1125,9,1388,Evgeni Markov
10,1956,7,1671,3,999,Evgeni Lutsenko
0,154,3,450,0,273,Nikolay Obolskiy
11,2703,4,1232,2,848,Evans Kangwa
23,3582,14,2818,3,1265,Artem Dzyuba
4,1177,3,446,7,1556,Luka Djordjevic
0,503,6,923,0,309,Federico Rasic
,,,,0,49,Aslanbek Sikoev
4,1200,2,1096,1,1078,Igor Shevchenko
4,2138,3,2213,6,1700,Sly
2,877,1,1217,2,925,Dmitri Sysuev
14,2502,6,1507,0,878,Kehinde Fatai
5,1928,0,957,3,605,Vyacheslav Krotov
,,5,654,0,42,Yerkebulan Seydakhmet
6,1882,0,1259,2,956,Aleksandr Zuev
4,2788,3,1824,2,1364,Aleksey Ionov
4,2130,17,2564,0,180,Björn Sigurdarson
2,535,2,1557,0,400,Eldor Shomurodov
0,632,,,1,892,Vladimir Dyadyun
2,1514,1,2080,2,1505,Nikolay Dimitrov
4,1635,3,1608,0,453,Dmytro Khomchenovsky
,,1,1723,0,359,Nikita Glushkov
4,1602,4,846,3,741,Giorgi Chanturia
6,1211,2,661,0,152,Edgar Manucharyan
14,1733,8,3115,1,1032,Vladimir Iljin
5,1803,1,338,1,358,Igor Portnyagin
3,430,0,267,1,915,Aaron Olanare
0,631,5,1952,1,1295,Darko Bodul
14,2142,8,2001,0,167,Aleksey Gasilin
1,903,3,1745,2,1209,Pavel Yakovlev
9,2252,3,754,4,1721,Ivan Markelov
2,1630,8,1745,1,900,Arsen Khubulov
16,2724,6,1915,1,635,Pylyp Budkivsky
8,1394,8,2011,4,615,Juan Lescano
3,2078,3,617,1,867,Aleksandr Prudnikov
,,,,0,30,Amur Kalmykov
3,994,4,1221,0,144,Pavel Dolgov
9,2503,15,2302,1,692,Ricardinho
9,1551,9,2937,2,524,Nikola Trujic
0,152,0,257,1,1336,Reziuan Mirzov
4,1460,4,1087,0,32,Aleksandr Makarov
1,1388,0,213,1,294,Pavel Pogrebnyak
2,764,5,1314,0,136,Alejandro Barbaro
5,2522,2,2197,1,920,Konstantin Savichev
2,3406,4,2626,0,1470,Vladislav Nikiforov
1,1491,2,2233,4,2236,Dmitri Kabutov
2,1574,6,1979,1,1211,Maksim Kazankov
7,3460,7,1939,2,1282,Maksim Kanunnikov
2,1224,4,1099,5,1466,Miroslav Markovic
2,692,5,1399,5,763,Lukasz Sekulski
,,,,1,72,Aleksandr Maksimenko
12,2111,10,3387,0,600,Ousmane Dembélé
41,4229,54,4452,32,3483,Lionel Messi
0,888,2,886,2,980,Aleix Vidal
59,4766,37,4302,24,3428,Luis Suárez
15,3087,8,1385,5,776,Paco Alcácer
51,4293,42,4126,33,2877,Cristiano Ronaldo
4,3047,10,1918,10,2116,Marco Asensio
19,2382,9,1937,11,1707,Gareth Bale
4,1647,4,2279,7,1949,Lucas Vázquez
28,2593,19,3239,8,2303,Karim Benzema
23,3320,2,426,5,772,Borja Mayoral
5,3717,6,3390,4,1306,Vitolo
8,1435,8,1919,7,2350,Ángel Correa
32,4380,26,4559,21,2960,Antoine Griezmann
16,3370,22,3490,6,959,Diego Costa
29,3572,16,2363,9,1237,Kévin Gameiro
12,2530,10,2197,5,1167,Fernando Torres
7,2113,7,2283,5,1887,Gonçalo Guedes
6,1318,5,2881,1,1291,Andreas Pereira
,,0,74,1,930,Ferrán Torres
8,1018,6,1947,11,2148,Simone Zaza
7,2175,7,1588,15,2277,Rodrigo
3,1455,10,1890,4,1165,Luciano Vietto
8,2293,6,1572,14,1531,Santi Mina
3,1308,8,1759,7,2154,Joaquín Correa
12,2452,6,1349,4,1686,Nolito
7,2553,11,2809,8,2830,Pablo Sarabia
1,3510,0,1797,2,2224,Jesús Navas
23,3348,18,2268,17,2174,Wissam Ben Yedder
7,1919,13,2415,8,1931,Luis Muriel
3,851,16,2402,1,798,Sandro Ramírez
8,3094,11,3098,0,1228,Roberto Soriano
4,632,0,767,3,900,Denis Cheryshev
2,2880,3,2602,2,1872,Samu Castillejo
0,8,1,976,5,2009,Daniel Raba
4,1957,5,2292,4,1067,Salem Al-Dawsari
20,3605,14,2310,12,2385,Carlos Bacca
7,2605,9,2720,5,510,Nicola Sansone
11,1439,19,2806,4,2002,Enes Ünal
19,2216,8,2067,0,192,Roger Martínez
2,1364,7,3150,2,928,Iker Muniain
0,808,4,2261,0,1504,Iñigo Córdoba
7,1959,1,668,0,427,Sabin Merino
13,2426,8,3621,7,2901,Iñaki Williams
5,3409,1,1473,2,2614,Markel Susaeta
36,4487,24,3186,19,2899,Aritz Aduriz
4,483,0,493,0,62,Kike Sola
9,2310,4,3170,9,2517,Mikel Oyarzabal
3,1267,2,1956,3,1404,Adnan Januzaj
0,587,15,2097,7,1543,Juanmi
5,1616,0,136,1,652,David Concha
10,2085,14,2541,17,2346,Willian José
15,2400,16,1833,2,520,Jon Bautista
13,1173,,,0,229,Imanol Agirretxe
8,2631,12,3361,4,2046,Pione Sisto
2,973,1,694,1,896,Emre Mor
18,3075,26,3607,19,2566,Iago Aspas
14,1679,15,2297,15,2482,Maximiliano Gómez
1,1347,3,1607,0,240,Lucas Boyé
4,2093,4,2416,6,1386,Cristian Tello
4,1696,3,1246,1,112,Joel Campbell
1,2108,3,1704,4,2059,Joaquín
1,2048,,,0,1082,Francis Guerrero
11,2272,4,1650,7,638,Antonio Sanabria
23,3544,10,2665,12,1864,Sergio León
19,3482,20,3794,1,220,Rubén Castro
